seasonId,className,seasonImg
100,ICONTM (ICON The Moment),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/icontm.png
110,ICONTM_B (ICON The Moment Bound),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/icontm_b.png
101,ICON (ICON),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/icon.png
802,DC (Decade),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/dc.png
801,JVA (Juventus Ambassador),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/jva.png
290,FCA (FCAmbassador),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/fca.png
291,23HW (23 Hard Worker),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/23hw.png
289,CC (CenturyClub),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/cc.png
283,HG (Home Grown),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/hg.png
284,RTN (Returnees),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/rtn.png
272,BWC (Best of World Cup),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/bwc.png
273,WC22 (World Cup 2022),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/wc22.png
274,RMCF (Real Madrid Ambassador),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/rmcf.png
270,SPL (Spotlight),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/spl.png
268,LN (LEGENDARY NUMBERS),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/ln.png
265,LOL (LEGEND OF THE LOAN),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/lol.png
264,FA (FREE AGENT),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/fa.png
811,24HR (24 Heroes),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/24hr.png
281,23HR (23 Heroes),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/23hr.png
261,22HR (22 Heroes),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/22hr.png
256,BTB (Back to Back),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/btb.png
252,CAP (Captain),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/cap.png
251,EBS (European Best Stars),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/ebs.png
253,BOE21 (Best of Europe 21),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/boe21.png
249,NTG (Nostalgia),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/ngt.png
246,UP (Unsung Players),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/up.png
237,MC (Multi-League Champions),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/mc.png
231,VTR (Veteran),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/vtr.png
233,MOG (Moments Of Glory),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/mog.png
254,CFA (Chelsea FC Ambassador),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/cfa.png
236,LA (Liverpool Ambassador),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/la.png
804,23NG (23 NEW GENERATION),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/23ng.png
276,22NG (22 NEW GENERATION),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/22ng.png
262,21NG (21 NEW GENERATION),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/21ng.png
238,20NG (20 NEW GENERATION),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/20ng.png
219,19NG (19 NEW GENERATION),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/19ng.png
218,OTW (Ones To Watch),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/otw.png
217,COC (Competitor Of Continents),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/coc.png
216,HOT (Heroes Of the Team),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/hot.png
214,TC (Tournament Champions),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/tc.png
213,Man City ICON (Man City ICON),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/mcicon.png
210,GR (Golden Rookies),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/gr.png
207,TT (Top Transfer),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/tt.png
206,TB (Tournament Best),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/tb.png
202,TKI (Team Korea Icon),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/tki.png
201,NHD (National Hero Debut),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/nhd.png
807,24 TOTY (24 Team Of The Year),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/24toty.png
808,24 TOTN (24 Team Of The Nominated),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/24totn.png
278,23 TOTY (23 Team Of The Year),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/23toty.png
279,23 TOTN (23 Team Of The Nominated),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/23totn.png
258,22 TOTY (22 Team Of The Year),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/22toty.png
259,22 TOTN (22 Team Of The Nominated),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/22totn.png
240,21 TOTY (21 Team Of The Year),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/21toty.png
241,21 TOTN (21 Team Of The Nominated),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/21totn.png
220,20 TOTY (20 Team Of The Year),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/20toty.png
222,20 TOTN (20 Team Of The Nominated),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/20totn.png
211,19 TOTY (19 Team Of The Year),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/19toty.png
212,18 TOTY (18 Team Of The Year),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/18toty.png
287,23 TOTS (23 Team Of The Season),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/23tots.png
267,22 TOTS (22 Team Of The Season),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/22tots.png
250,21 TOTS (21 Team Of The Season),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/21tots.png
230,20 TOTS (20 Team Of The Season),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/20tots.png
215,19 TOTS (19 Team Of The Season),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/19tots.png
810,23 UCL (23 UEFA Champions League),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/23ucl.png
280,22 UCL (22 UEFA Champions League),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/22ucl.png
260,21 UCL (21 UEFA Champions League),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/21ucl.png
242,20 UCL (20 UEFA Champions League),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/20ucl.png
221,19 UCL (19 UEFA Champions League),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/19ucl.png
234,LH (Loyal Heroes),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/lh.png
225,TKL (TEAM K LEAGUE),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/tkl.png
806,23 KFA (23 KFA),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/23kfa.png
293,22 KFA (22 KFA),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/22kfa.png
294,21 KFA (21 KFA),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/21kfa.png
295,19 KFA (19 KFA),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/2019kfa.png
298,18 KFA (18 KFA),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/kfa.png
297,MCFC (17-18 Man City Champions),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/mcfc.png
247,2012 KH (2012 KH),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/2012kh.png
512,23KLeague (23KLeague),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/23kl.png
510,22KLeague (22KLeague),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/22kl.png
507,21KLeague (21KLeague),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/21kl.png
504,20KLeague (20KLeague),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/20kl.png
805,23KLB (23 K-League Best),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/23klb.png
277,22KLB (22 K-League Best),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/22klb.png
257,21KLB (21 K-League Best),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/21klb.png
239,20KLB (20 K-League Best),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/20klb.png
513,23 PL (23 Premium Live),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/23pla.png
511,22 PL (22 Premium Live),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/22pla.png
508,21 PL (21 Premium Live),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/21pla.png
506,20 PL (20 Premium Live),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/20pla.png
503,19 PLC–S (19 Premium Live Spring),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/19pls.png
502,19 PLC–A (19 Premium Live Autumn),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/19pla.png
501,18 PLC–S (18 Premium Live Spring),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/18pls.png
500,18 PLC–A (18 Premium Live Autumn),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/plc.png
300,23 LIVE (23 LIVE),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/live.png
322,22 LIVE (22 LIVE),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/22.png
321,21 LIVE (21 LIVE),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/21.png
320,20 LIVE (20 LIVE),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/20.png
319,19 LIVE (19 LIVE),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/19.png
318,18 LIVE (18 LIVE),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/18.png
317,17 LIVE (17 LIVE),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/17.png
812,LKI (LKI),https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/season/lki.png
